target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
DUF2730	PF10805.8	102	EGMKBDPC_00002	-	212	0.012	15.6	0.7	1	2	6.7e-06	0.04	14.0	0.4	32	90	62	123	60	131	0.8
DUF2730	PF10805.8	102	EGMKBDPC_00002	-	212	0.012	15.6	0.7	2	2	0.37	2200.0	-1.2	0.0	26	53	176	202	165	207	0.54
DUF1664	PF07889.12	124	EGMKBDPC_00002	-	212	0.016	15.2	2.7	1	1	5e-06	0.03	14.4	2.7	70	120	65	115	59	118	0.89
HopA1	PF17914.1	170	EGMKBDPC_00002	-	212	0.037000000000000005	13.8	0.1	1	1	1.1e-05	0.063	13.0	0.1	127	163	176	210	160	211	0.88
Phage_stabilise	PF11134.8	469	EGMKBDPC_00003	-	472	2.199999999999999e-294	976.4	0.1	1	1	1.399999999999999e-298	2.4999999999999987e-294	976.2	0.1	1	469	4	472	4	472	1.0
P22_Tail-4	PF11650.8	164	EGMKBDPC_00004	-	166	3.5999999999999994e-83	277.4	0.1	1	1	4.5999999999999985e-87	4.1e-83	277.2	0.1	1	162	1	159	1	162	0.98
DUF2737	PF10930.8	53	EGMKBDPC_00004	-	166	0.16	11.5	0.0	1	1	3.1e-05	0.28	10.8	0.0	15	44	119	148	111	151	0.92
P22_CoatProtein	PF11651.8	417	EGMKBDPC_00006	-	430	2.0999999999999996e-152	507.6	2.4	1	1	3.899999999999999e-156	2.2999999999999993e-152	507.4	2.4	1	417	1	427	1	427	0.99
Rbx_binding	PF18113.1	71	EGMKBDPC_00006	-	430	0.084	12.7	0.0	1	1	3.8e-05	0.22	11.3	0.0	5	41	215	251	212	260	0.91
Maf1	PF09174.10	174	EGMKBDPC_00006	-	430	0.11	12.6	0.0	1	1	2.8000000000000003e-05	0.17	12.1	0.0	45	163	48	171	19	180	0.74
Phage-scaffold	PF09306.10	303	EGMKBDPC_00007	-	303	1.0999999999999995e-199	662.1	13.6	1	1	6.799999999999996e-204	1.1999999999999993e-199	661.9	13.6	1	303	1	302	1	302	1.0
P22_portal	PF16510.5	668	EGMKBDPC_00008	-	725	0.0	1243.7	14.7	1	1	0.0	0.0	1243.5	14.7	1	668	14	681	14	681	1.0
HTH_52	PF18576.1	64	EGMKBDPC_00008	-	725	0.01	16.0	0.0	1	1	5.3e-06	0.024	14.8	0.0	3	59	222	278	220	280	0.96
E2F_TDP	PF02319.20	71	EGMKBDPC_00008	-	725	0.11	12.5	0.7	1	2	0.044000000000000004	200.0	2.1	0.1	26	47	251	277	221	288	0.81
E2F_TDP	PF02319.20	71	EGMKBDPC_00008	-	725	0.11	12.5	0.7	2	2	0.0011	4.8	7.3	0.1	13	55	669	710	663	712	0.71
Big_4	PF07532.11	59	EGMKBDPC_00008	-	725	0.13	12.1	0.0	1	1	9.2e-05	0.41	10.4	0.0	10	33	468	491	460	493	0.86
HNH_3	PF13392.6	46	EGMKBDPC_00009	-	166	1e-10	41.2	0.3	1	1	1e-14	1.8000000000000002e-10	40.4	0.3	1	45	56	98	56	99	0.9
DBD_HTH	PF18430.1	35	EGMKBDPC_00010	-	486	0.12	12.2	0.1	1	1	1.2e-05	0.22	11.3	0.1	4	21	232	249	232	249	0.96
Terminase_5	PF06056.12	58	EGMKBDPC_00011	-	145	7.5e-05	22.5	0.3	1	2	8.5e-06	0.022000000000000002	14.7	0.0	5	35	14	44	11	50	0.93
Terminase_5	PF06056.12	58	EGMKBDPC_00011	-	145	7.5e-05	22.5	0.3	2	2	0.0049	13.0	5.8	0.2	35	57	113	136	100	140	0.85
HTH_23	PF13384.6	50	EGMKBDPC_00011	-	145	0.0023	17.7	0.0	1	1	2.4e-06	0.006	16.3	0.0	13	40	18	45	11	52	0.87
Phage_terminase	PF10668.9	60	EGMKBDPC_00011	-	145	0.0031	17.5	0.4	1	2	1.4000000000000001e-05	0.036000000000000004	14.1	0.0	27	45	27	45	8	63	0.83
Phage_terminase	PF10668.9	60	EGMKBDPC_00011	-	145	0.0031	17.5	0.4	2	2	0.13	340.0	1.3	0.2	3	11	112	120	110	130	0.69
GP3_package	PF16677.5	113	EGMKBDPC_00011	-	145	0.0095	16.1	0.1	1	2	2.1e-05	0.054000000000000006	13.6	0.0	44	91	24	71	4	80	0.88
GP3_package	PF16677.5	113	EGMKBDPC_00011	-	145	0.0095	16.1	0.1	2	2	0.51	1300.0	-0.5	0.0	79	113	89	123	82	123	0.65
HTH_3	PF01381.22	55	EGMKBDPC_00011	-	145	0.011000000000000001	15.8	0.0	1	1	8.3e-06	0.021	14.9	0.0	3	29	14	42	13	52	0.91
HTH_7	PF02796.15	45	EGMKBDPC_00011	-	145	0.086	12.9	0.0	1	1	6.3e-05	0.16	12.1	0.0	2	38	3	39	3	44	0.96
Spore_YhaL	PF14147.6	52	EGMKBDPC_00011	-	145	0.14	11.9	0.1	1	1	9e-05	0.23	11.2	0.1	16	51	105	141	103	142	0.9
DUF2560	PF10834.8	72	EGMKBDPC_00012	-	80	8.2e-44	147.7	0.7	1	1	1.4999999999999998e-47	9.099999999999999e-44	147.5	0.7	1	72	5	76	5	76	0.99
Coa1	PF08695.10	117	EGMKBDPC_00012	-	80	0.012	15.4	0.0	1	2	0.0013	7.7	6.3	0.0	18	52	7	40	1	48	0.81
Coa1	PF08695.10	117	EGMKBDPC_00012	-	80	0.012	15.4	0.0	2	2	0.00033	2.0	8.2	0.0	17	46	47	76	40	79	0.87
DUF2151	PF10221.9	688	EGMKBDPC_00012	-	80	0.12	11.0	0.0	1	1	2.3e-05	0.14	10.7	0.0	170	222	11	65	5	75	0.84
T5orf172	PF10544.9	103	EGMKBDPC_00013	-	161	5.599999999999999e-10	39.7	0.1	1	1	1e-13	9e-10	39.0	0.1	2	97	77	154	76	157	0.82
MUG113	PF13455.6	77	EGMKBDPC_00013	-	161	9.800000000000001e-10	39.0	0.2	1	1	1.8000000000000002e-13	1.6e-09	38.3	0.2	2	73	90	152	89	155	0.94
Phage_lysis	PF03245.13	126	EGMKBDPC_00015	-	194	2.3e-28	98.9	2.1	1	1	4.5999999999999996e-32	2.8e-28	98.6	2.1	2	126	69	193	68	193	0.95
Oleosin	PF01277.17	113	EGMKBDPC_00015	-	194	0.078	12.7	0.1	1	1	1.9e-05	0.11	12.2	0.1	61	107	46	92	36	101	0.8
PspB	PF06667.12	73	EGMKBDPC_00015	-	194	0.13	12.4	0.0	1	1	3.5e-05	0.21	11.7	0.0	6	56	46	96	41	121	0.88
Phage_lysozyme	PF00959.19	109	EGMKBDPC_00016	-	167	3.4e-32	111.1	0.1	1	1	2.2999999999999996e-36	4.2e-32	110.8	0.1	2	108	51	156	50	157	0.98
Phage_holin_2_3	PF16080.5	56	EGMKBDPC_00017	-	67	2e-19	69.1	0.1	1	1	5.3e-23	2.3999999999999997e-19	68.8	0.1	2	50	6	54	5	58	0.92
Phage_holin_2_4	PF16082.5	76	EGMKBDPC_00017	-	67	3.5000000000000004e-06	26.7	0.0	1	1	9.2e-10	4.1e-06	26.4	0.0	20	57	16	53	12	63	0.88
Phage_holin_2_1	PF04971.12	64	EGMKBDPC_00017	-	67	1.3000000000000001e-05	25.0	1.1	1	1	1.6e-08	7.4e-05	22.7	1.1	35	59	30	54	5	58	0.81
DUF4234	PF14018.6	70	EGMKBDPC_00017	-	67	0.0072	16.4	0.2	1	1	2.5e-06	0.011000000000000001	15.8	0.2	4	35	30	61	19	67	0.88
Phage_antitermQ	PF06530.12	118	EGMKBDPC_00020	-	172	5.999999999999999e-24	84.2	0.1	1	1	9.7e-28	8.7e-24	83.7	0.1	3	90	15	103	13	111	0.92
DUF1133	PF06576.11	176	EGMKBDPC_00020	-	172	1.3e-09	37.7	3.1	1	2	0.00016	1.4	8.3	1.8	16	38	8	30	2	38	0.82
DUF1133	PF06576.11	176	EGMKBDPC_00020	-	172	1.3e-09	37.7	3.1	2	2	3e-10	2.7000000000000004e-06	26.9	0.0	93	176	55	150	32	150	0.77
TolA_bind_tri	PF16331.5	76	EGMKBDPC_00021	-	60	0.0026	17.8	2.3	1	1	4.4e-07	0.0026	17.8	2.3	21	62	8	49	3	60	0.89
Cor1	PF04803.12	132	EGMKBDPC_00021	-	60	0.013000000000000001	15.7	1.3	1	1	2.6e-06	0.016	15.5	1.3	79	115	10	46	4	49	0.9
Ribosomal_S15	PF00312.22	81	EGMKBDPC_00021	-	60	0.017	15.3	0.5	1	1	3.1e-06	0.018000000000000002	15.2	0.5	29	69	4	44	1	52	0.88
