target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
Amino_oxidase	PF01593.24	452	GFGJDNII_00001	-	208	2.7e-13	50.0	0.0	1	1	1.8e-17	3.2e-13	49.8	0.0	274	446	2	179	1	183	0.79
CN_hydrolase	PF00795.22	261	GFGJDNII_00002	-	298	1.1e-52	179.0	0.0	1	1	6.999999999999999e-57	1.3000000000000001e-52	178.8	0.0	1	259	12	266	12	268	0.93
Asparaginase	PF00710.20	191	GFGJDNII_00004	-	329	3.8e-45	153.8	0.0	1	1	5.799999999999999e-49	5.2e-45	153.4	0.0	2	185	10	193	9	199	0.95
Asparaginase_C	PF17763.1	114	GFGJDNII_00004	-	329	9.2e-17	61.3	0.1	1	2	0.36	3200.0	-1.7	0.0	41	61	139	159	122	167	0.69
Asparaginase_C	PF17763.1	114	GFGJDNII_00004	-	329	9.2e-17	61.3	0.1	2	2	3.4e-20	3.1e-16	59.6	0.0	1	107	213	321	213	327	0.94
UPF0149	PF03695.13	174	GFGJDNII_00005	-	183	3.2e-27	95.9	0.4	1	1	1.9999999999999997e-31	3.6e-27	95.8	0.4	1	173	11	180	11	181	0.89
GST_N	PF02798.20	76	GFGJDNII_00006	-	209	7.7e-19	67.8	0.0	1	1	7.400000000000001e-22	1.7000000000000002e-18	66.8	0.0	2	75	4	77	3	78	0.98
GST_N_3	PF13417.6	75	GFGJDNII_00006	-	209	5.1e-15	55.6	0.0	1	1	3.8e-18	8.6e-15	54.9	0.0	1	73	7	82	7	90	0.92
GST_N_2	PF13409.6	70	GFGJDNII_00006	-	209	2.6e-14	53.3	0.0	1	2	2.8000000000000005e-17	6.2e-14	52.1	0.0	5	69	16	78	13	79	0.94
GST_N_2	PF13409.6	70	GFGJDNII_00006	-	209	2.6e-14	53.3	0.0	2	2	3.7	8300.0	-2.8	0.0	44	51	152	159	125	176	0.68
GST_C	PF00043.25	93	GFGJDNII_00006	-	209	2.1e-08	34.3	0.0	1	1	1.6e-11	3.7e-08	33.5	0.0	26	93	128	193	116	193	0.89
GST_C_2	PF13410.6	69	GFGJDNII_00006	-	209	3.7999999999999996e-08	33.2	0.1	1	1	6.8e-11	1.5e-07	31.3	0.1	5	69	127	188	90	188	0.86
GST_C_3	PF14497.6	99	GFGJDNII_00006	-	209	9.4e-05	22.5	0.0	1	1	7.8e-08	0.00016999999999999999	21.7	0.0	29	91	133	194	122	196	0.84
GST_N_4	PF17172.4	99	GFGJDNII_00006	-	209	0.00015	22.5	0.0	1	1	1.4e-07	0.00032	21.4	0.0	29	76	51	96	18	103	0.84
GST_C_6	PF17171.4	64	GFGJDNII_00006	-	209	0.054000000000000006	13.3	0.0	1	1	4.6e-05	0.1	12.4	0.0	3	37	135	169	133	196	0.79
Putative_PNPOx	PF01243.20	88	GFGJDNII_00007	-	678	4.8e-24	84.3	0.0	1	2	9.599999999999999e-11	3.4e-07	30.3	0.0	1	83	41	129	41	134	0.91
Putative_PNPOx	PF01243.20	88	GFGJDNII_00007	-	678	4.8e-24	84.3	0.0	2	2	2e-17	7.1e-14	51.8	0.0	2	86	172	266	171	268	0.95
NAD_binding_1	PF00175.21	109	GFGJDNII_00007	-	678	1.9e-12	47.8	0.0	1	1	1.2e-15	4.2e-12	46.7	0.0	1	105	437	543	437	546	0.81
Fer2	PF00111.27	78	GFGJDNII_00007	-	678	4.4000000000000003e-10	39.4	0.3	1	1	2.6e-13	9.4e-10	38.3	0.3	13	77	604	664	596	665	0.78
FAD_binding_6	PF00970.24	99	GFGJDNII_00007	-	678	1.7000000000000001e-09	37.9	0.0	1	1	9.9e-13	3.6e-09	36.9	0.0	4	97	334	425	331	427	0.87
NAD_binding_6	PF08030.12	156	GFGJDNII_00007	-	678	0.0074	16.4	0.0	1	2	1.2e-05	0.042	14.0	0.0	4	50	435	476	432	502	0.79
NAD_binding_6	PF08030.12	156	GFGJDNII_00007	-	678	0.0074	16.4	0.0	2	2	0.32	1200.0	-0.5	0.0	139	153	533	547	520	548	0.88
LysR_substrate	PF03466.20	209	GFGJDNII_00008	-	298	8.1e-44	149.5	0.6	1	1	2.8e-47	1.1999999999999999e-43	148.9	0.6	3	208	89	292	87	293	0.95
HTH_1	PF00126.27	60	GFGJDNII_00008	-	298	7e-20	70.7	2.9	1	1	3.2000000000000003e-23	1.4e-19	69.8	2.9	2	59	5	62	4	63	0.98
MarR_2	PF12802.7	62	GFGJDNII_00008	-	298	0.0098	15.8	0.3	1	1	6.8e-06	0.03	14.2	0.3	23	48	18	43	9	43	0.89
HTH_24	PF13412.6	48	GFGJDNII_00008	-	298	0.071	12.7	0.0	1	1	3.9e-05	0.17	11.4	0.0	23	43	22	42	18	43	0.89
Aldose_epim	PF01263.20	301	GFGJDNII_00009	-	289	1.6e-27	96.6	0.0	1	1	1.1e-31	2e-27	96.3	0.0	15	299	18	283	5	285	0.86
EamA	PF00892.20	137	GFGJDNII_00010	-	307	4.6e-18	65.7	38.2	1	2	5.1e-12	3e-08	33.9	17.0	3	135	16	147	14	148	0.92
EamA	PF00892.20	137	GFGJDNII_00010	-	307	4.6e-18	65.7	38.2	2	2	2.7e-13	1.6e-09	38.0	13.2	3	136	167	302	165	303	0.83
TMEM234	PF10639.9	116	GFGJDNII_00010	-	307	1e-05	25.5	5.3	1	2	1.7e-06	0.01	15.9	0.2	43	114	77	146	62	148	0.88
TMEM234	PF10639.9	116	GFGJDNII_00010	-	307	1e-05	25.5	5.3	2	2	3.7e-05	0.22	11.6	1.0	60	115	247	301	234	302	0.89
UAA	PF08449.11	302	GFGJDNII_00010	-	307	0.028999999999999998	13.6	2.8	1	1	6.6e-05	0.4	9.8	2.8	128	300	137	303	39	305	0.7
DctM	PF06808.12	416	GFGJDNII_00011	-	426	3.5999999999999994e-110	368.7	55.2	1	1	6.8e-114	4.0999999999999986e-110	368.5	55.2	1	416	7	417	7	417	0.98
YqzM	PF14141.6	42	GFGJDNII_00011	-	426	0.75	9.9	3.1	1	2	0.011000000000000001	67.0	3.6	0.5	22	33	245	256	239	257	0.86
YqzM	PF14141.6	42	GFGJDNII_00011	-	426	0.75	9.9	3.1	2	2	0.0044	26.0	4.9	0.1	19	34	283	298	281	304	0.86
BIV_Env	PF05858.12	548	GFGJDNII_00011	-	426	5.1	5.2	7.5	1	1	0.0013	7.8	4.5	7.5	51	166	219	333	209	336	0.78
DctQ	PF04290.12	132	GFGJDNII_00012	-	175	1.3999999999999999e-24	86.5	9.5	1	1	3.3999999999999996e-28	2.0000000000000002e-24	86.0	9.5	1	127	27	153	27	156	0.97
DC_STAMP	PF07782.13	191	GFGJDNII_00012	-	175	0.23	11.3	0.9	1	1	8.499999999999999e-05	0.51	10.1	0.9	141	173	84	116	79	120	0.9
Vma12	PF11712.8	139	GFGJDNII_00012	-	175	7.8	6.6	5.4	1	2	0.13	760.0	0.1	0.4	85	112	51	76	50	80	0.72
Vma12	PF11712.8	139	GFGJDNII_00012	-	175	7.8	6.6	5.4	2	2	0.00033	2.0	8.5	0.8	72	129	85	149	69	159	0.75
DctP	PF03480.13	286	GFGJDNII_00013	-	323	4.899999999999999e-76	255.8	0.1	1	1	6.5999999999999984e-80	5.9e-76	255.5	0.1	1	281	29	307	29	311	0.97
SBP_bac_3	PF00497.20	225	GFGJDNII_00013	-	323	0.027999999999999997	13.8	0.0	1	2	0.27	2400.0	-2.3	0.0	10	36	105	131	100	146	0.66
SBP_bac_3	PF00497.20	225	GFGJDNII_00013	-	323	0.027999999999999997	13.8	0.0	2	2	8e-06	0.07200000000000001	12.5	0.0	90	203	152	260	142	267	0.78
SGL	PF08450.12	246	GFGJDNII_00014	-	293	1.0999999999999999e-80	270.8	0.0	1	1	4.999999999999999e-84	1.2999999999999997e-80	270.6	0.0	2	245	14	260	13	261	0.96
