target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
LacAB_rpiB	PF02502.18	139	EHFDMAAI_00002	-	157	4.799999999999999e-53	178.9	0.0	1	1	6.600000000000001e-57	5.899999999999999e-53	178.6	0.0	1	139	3	151	3	151	0.94
Flavodoxin_2	PF02525.17	198	EHFDMAAI_00002	-	157	0.019	14.7	0.0	1	1	2.8e-06	0.025	14.3	0.0	19	83	13	117	3	119	0.77
NAD_binding_7	PF13241.6	104	EHFDMAAI_00003	-	222	7.2e-25	87.4	0.0	1	1	3.1e-28	1.1e-24	86.8	0.0	4	104	9	122	7	122	0.91
CysG_dimeriser	PF10414.9	58	EHFDMAAI_00003	-	222	3.2e-07	30.0	1.8	1	1	2.6000000000000003e-10	9.4e-07	28.5	1.6	2	42	158	199	157	206	0.84
Sirohm_synth_M	PF14824.6	28	EHFDMAAI_00003	-	222	0.00011999999999999999	21.4	0.4	1	1	7.1e-08	0.00026000000000000003	20.4	0.4	1	27	126	152	126	153	0.94
TrkA_N	PF02254.18	116	EHFDMAAI_00003	-	222	0.14	12.5	0.0	1	1	5.5e-05	0.2	11.9	0.0	1	83	15	100	15	109	0.8
Shikimate_DH	PF01488.20	138	EHFDMAAI_00003	-	222	0.2	11.7	0.0	1	1	8.8e-05	0.32	11.1	0.0	10	54	10	54	3	71	0.78
UvrA_DNA-bind	PF17755.1	110	EHFDMAAI_00004	-	944	8.1e-38	129.2	0.0	1	3	1.5	1200.0	-0.2	0.0	81	107	40	66	29	68	0.8
UvrA_DNA-bind	PF17755.1	110	EHFDMAAI_00004	-	944	8.1e-38	129.2	0.0	2	3	2e-38	1.6e-35	121.7	0.0	1	110	295	404	295	404	0.99
UvrA_DNA-bind	PF17755.1	110	EHFDMAAI_00004	-	944	8.1e-38	129.2	0.0	3	3	0.24	200.0	2.4	0.0	22	70	454	502	435	509	0.84
UvrA_inter	PF17760.1	109	EHFDMAAI_00004	-	944	1.3000000000000001e-37	128.2	0.3	1	2	5.4e-40	4.4e-37	126.5	0.2	1	107	132	238	132	240	0.98
UvrA_inter	PF17760.1	109	EHFDMAAI_00004	-	944	1.3000000000000001e-37	128.2	0.3	2	2	5.5	4500.0	-2.3	0.0	81	107	525	551	518	553	0.84
ABC_tran	PF00005.27	137	EHFDMAAI_00004	-	944	5.2000000000000005e-20	72.4	0.3	1	3	1.2e-05	0.0097	16.4	0.0	1	28	16	43	16	54	0.93
ABC_tran	PF00005.27	137	EHFDMAAI_00004	-	944	5.2000000000000005e-20	72.4	0.3	2	3	0.00013000000000000002	0.1	13.1	0.0	76	136	460	521	417	522	0.63
ABC_tran	PF00005.27	137	EHFDMAAI_00004	-	944	5.2000000000000005e-20	72.4	0.3	3	3	7.3e-12	5.9e-09	36.6	0.0	1	136	628	864	628	865	0.79
SMC_N	PF02463.19	220	EHFDMAAI_00004	-	944	2e-08	34.0	0.0	1	4	0.002	1.6	8.1	0.0	5	40	6	42	4	49	0.73
SMC_N	PF02463.19	220	EHFDMAAI_00004	-	944	2e-08	34.0	0.0	2	4	0.019	16.0	4.9	0.0	135	210	203	564	87	570	0.71
SMC_N	PF02463.19	220	EHFDMAAI_00004	-	944	2e-08	34.0	0.0	3	4	0.0064	5.2	6.4	0.0	26	41	640	655	619	681	0.77
SMC_N	PF02463.19	220	EHFDMAAI_00004	-	944	2e-08	34.0	0.0	4	4	0.00079	0.64	9.4	0.0	131	210	828	907	684	914	0.84
AAA_29	PF13555.6	61	EHFDMAAI_00004	-	944	3.7999999999999996e-08	33.0	0.5	1	2	2.1e-05	0.017	14.8	0.0	12	38	16	42	10	49	0.79
AAA_29	PF13555.6	61	EHFDMAAI_00004	-	944	3.7999999999999996e-08	33.0	0.5	2	2	1.2e-05	0.01	15.6	0.1	23	57	638	670	621	674	0.74
AAA_16	PF13191.6	170	EHFDMAAI_00004	-	944	2.2e-07	31.4	0.6	1	3	5.9999999999999995e-05	0.049	14.0	0.0	25	63	27	66	11	152	0.83
AAA_16	PF13191.6	170	EHFDMAAI_00004	-	944	2.2e-07	31.4	0.6	2	3	6.8	5600.0	-2.4	0.0	148	165	526	543	436	550	0.55
AAA_16	PF13191.6	170	EHFDMAAI_00004	-	944	2.2e-07	31.4	0.6	3	3	5.2000000000000004e-05	0.043	14.2	0.1	15	51	627	666	621	692	0.76
AAA_21	PF13304.6	303	EHFDMAAI_00004	-	944	5.0999999999999995e-06	26.5	0.2	1	4	0.021	17.0	5.1	0.0	1	15	28	42	28	66	0.95
AAA_21	PF13304.6	303	EHFDMAAI_00004	-	944	5.0999999999999995e-06	26.5	0.2	2	4	0.64	520.0	0.2	0.0	260	279	514	537	485	549	0.77
AAA_21	PF13304.6	303	EHFDMAAI_00004	-	944	5.0999999999999995e-06	26.5	0.2	3	4	0.055999999999999994	46.0	3.7	0.1	1	15	640	654	640	684	0.88
AAA_21	PF13304.6	303	EHFDMAAI_00004	-	944	5.0999999999999995e-06	26.5	0.2	4	4	0.00022999999999999998	0.19	11.5	0.0	254	284	851	881	830	907	0.8
AAA_23	PF13476.6	200	EHFDMAAI_00004	-	944	3.5e-05	24.4	1.1	1	2	4.6e-05	0.037000000000000005	14.5	0.0	1	35	5	42	5	44	0.91
AAA_23	PF13476.6	200	EHFDMAAI_00004	-	944	3.5e-05	24.4	1.1	2	2	0.0045	3.7	8.0	0.3	21	36	640	655	618	659	0.88
RsgA_GTPase	PF03193.16	167	EHFDMAAI_00004	-	944	9.2e-05	22.4	0.1	1	2	0.0011	0.88	9.5	0.0	88	116	14	43	4	63	0.72
RsgA_GTPase	PF03193.16	167	EHFDMAAI_00004	-	944	9.2e-05	22.4	0.1	2	2	0.00055	0.45	10.4	0.0	81	128	619	668	607	676	0.78
AAA_15	PF13175.6	369	EHFDMAAI_00004	-	944	0.0004	20.2	0.0	1	4	0.044000000000000004	36.0	3.9	0.0	14	39	16	42	4	47	0.86
AAA_15	PF13175.6	369	EHFDMAAI_00004	-	944	0.0004	20.2	0.0	2	4	0.16	130.0	2.0	0.0	325	356	513	544	499	554	0.87
AAA_15	PF13175.6	369	EHFDMAAI_00004	-	944	0.0004	20.2	0.0	3	4	0.07200000000000001	59.0	3.2	0.0	14	40	631	655	620	670	0.86
AAA_15	PF13175.6	369	EHFDMAAI_00004	-	944	0.0004	20.2	0.0	4	4	0.018000000000000002	15.0	5.2	0.0	318	359	849	890	775	899	0.76
AAA_25	PF13481.6	194	EHFDMAAI_00004	-	944	0.0012	18.4	0.1	1	2	0.0007700000000000001	0.63	9.6	0.0	26	53	19	46	8	51	0.84
AAA_25	PF13481.6	194	EHFDMAAI_00004	-	944	0.0012	18.4	0.1	2	2	0.013000000000000001	11.0	5.6	0.0	27	53	632	658	624	668	0.88
AAA_22	PF13401.6	137	EHFDMAAI_00004	-	944	0.0022	18.3	0.1	1	3	0.0022	1.8	8.8	0.0	6	38	27	63	24	154	0.64
AAA_22	PF13401.6	137	EHFDMAAI_00004	-	944	0.0022	18.3	0.1	2	3	0.018000000000000002	14.0	5.9	0.0	7	23	640	656	638	695	0.86
AAA_22	PF13401.6	137	EHFDMAAI_00004	-	944	0.0022	18.3	0.1	3	3	9.6	7800.0	-2.9	0.0	81	100	843	863	832	890	0.73
DUF2075	PF09848.9	363	EHFDMAAI_00004	-	944	0.0032	16.7	0.0	1	2	0.00062	0.51	9.5	0.0	2	46	27	77	26	113	0.73
DUF2075	PF09848.9	363	EHFDMAAI_00004	-	944	0.0032	16.7	0.0	2	2	0.016	13.0	4.9	0.0	5	25	642	662	639	687	0.79
AAA_33	PF13671.6	143	EHFDMAAI_00004	-	944	0.0049	17.0	0.1	1	5	0.0096	7.9	6.6	0.0	1	24	28	51	28	115	0.83
AAA_33	PF13671.6	143	EHFDMAAI_00004	-	944	0.0049	17.0	0.1	2	5	3.1	2500.0	-1.5	0.0	54	108	214	265	171	272	0.78
AAA_33	PF13671.6	143	EHFDMAAI_00004	-	944	0.0049	17.0	0.1	3	5	2.7	2200.0	-1.3	0.0	73	112	515	557	490	558	0.76
AAA_33	PF13671.6	143	EHFDMAAI_00004	-	944	0.0049	17.0	0.1	4	5	0.043	35.0	4.5	0.0	3	20	642	659	640	730	0.8
AAA_33	PF13671.6	143	EHFDMAAI_00004	-	944	0.0049	17.0	0.1	5	5	7.6	6200.0	-2.7	0.0	64	99	849	886	834	900	0.66
Viral_helicase1	PF01443.18	234	EHFDMAAI_00004	-	944	0.0056	16.4	0.1	1	2	0.0034	2.7	7.6	0.0	1	49	29	77	29	92	0.67
Viral_helicase1	PF01443.18	234	EHFDMAAI_00004	-	944	0.0056	16.4	0.1	2	2	0.008	6.5	6.4	0.0	2	21	642	661	641	688	0.81
DnaJ_CXXCXGXG	PF00684.19	67	EHFDMAAI_00004	-	944	0.0079	16.5	7.9	1	3	0.21	170.0	2.7	0.8	16	25	281	290	258	299	0.77
DnaJ_CXXCXGXG	PF00684.19	67	EHFDMAAI_00004	-	944	0.0079	16.5	7.9	2	3	0.16	130.0	3.0	0.1	39	50	406	417	392	425	0.6
DnaJ_CXXCXGXG	PF00684.19	67	EHFDMAAI_00004	-	944	0.0079	16.5	7.9	3	3	0.00016999999999999999	0.14	12.5	0.1	16	51	743	774	728	780	0.75
AAA_18	PF13238.6	130	EHFDMAAI_00004	-	944	0.013000000000000001	16.1	0.0	1	2	0.0096	7.9	7.0	0.0	2	16	30	44	30	76	0.83
AAA_18	PF13238.6	130	EHFDMAAI_00004	-	944	0.013000000000000001	16.1	0.0	2	2	0.02	17.0	6.0	0.0	2	14	642	654	642	688	0.86
cobW	PF02492.19	177	EHFDMAAI_00004	-	944	0.021	14.4	0.6	1	2	0.01	8.4	5.9	0.1	2	27	28	53	27	56	0.81
cobW	PF02492.19	177	EHFDMAAI_00004	-	944	0.021	14.4	0.6	2	2	0.0069	5.6	6.5	0.1	2	22	640	662	639	674	0.78
ATPase	PF06745.13	231	EHFDMAAI_00004	-	944	0.027000000000000003	13.8	0.0	1	2	0.0045	3.7	6.8	0.0	16	36	23	43	17	54	0.89
