target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
SBF	PF01758.16	195	IJPOELNM_00001	-	324	5.2000000000000005e-12	45.9	16.3	1	2	2.9e-16	5.2000000000000005e-12	45.9	16.3	2	186	42	219	41	226	0.93
SBF	PF01758.16	195	IJPOELNM_00001	-	324	5.2000000000000005e-12	45.9	16.3	2	2	0.2	3500.0	-2.5	0.2	41	57	243	255	231	299	0.59
AI-2E_transport	PF01594.16	327	IJPOELNM_00002	-	611	4.4e-40	137.8	27.3	1	1	7.7e-43	1.3999999999999997e-38	132.9	27.3	5	321	15	358	10	363	0.85
CsbD	PF05532.12	53	IJPOELNM_00003	-	63	3.0999999999999996e-11	43.0	12.2	1	1	8.7e-15	7.8e-11	41.7	12.2	3	52	4	53	3	63	0.88
MT0933_antitox	PF14013.6	49	IJPOELNM_00003	-	63	0.00023999999999999998	21.4	13.7	1	1	1.7e-06	0.015	15.6	13.7	14	48	7	59	2	60	0.85
Peptidase_Mx	PF15887.5	235	IJPOELNM_00005	-	340	1.8999999999999996e-110	367.8	0.2	1	1	3.799999999999999e-114	2.2999999999999996e-110	367.6	0.2	1	234	62	308	62	309	0.99
zinc-ribbon_6	PF10005.9	93	IJPOELNM_00005	-	340	2.7e-15	56.8	2.1	1	1	7.4e-19	4.4e-15	56.1	2.1	34	92	1	58	1	59	0.95
Peptidase_Mx1	PF15890.5	241	IJPOELNM_00005	-	340	0.00039	19.9	0.0	1	1	9.1e-08	0.00054	19.5	0.0	98	194	115	225	104	279	0.63
PepSY_2	PF13670.6	84	IJPOELNM_00006	-	94	6.3e-19	67.8	0.1	1	1	2.2e-22	7.7e-19	67.5	0.1	4	81	11	89	8	91	0.91
UPF0180	PF03698.13	77	IJPOELNM_00006	-	94	0.011000000000000001	15.9	0.0	1	1	4.1e-06	0.015	15.5	0.0	10	38	42	70	39	87	0.85
TusA	PF01206.17	70	IJPOELNM_00006	-	94	0.012	15.5	0.0	1	1	4.6e-06	0.017	15.0	0.0	29	66	30	67	18	68	0.9
Raf1_HTH	PF18579.1	61	IJPOELNM_00006	-	94	0.049	13.3	0.0	1	1	1.9e-05	0.067	12.9	0.0	12	42	34	64	24	68	0.86
IF2_N	PF04760.15	54	IJPOELNM_00006	-	94	0.12	12.3	0.0	1	1	5.2000000000000004e-05	0.19	11.6	0.0	15	35	39	58	30	60	0.86
PepSY	PF03413.19	63	IJPOELNM_00007	-	107	3.1e-08	34.1	0.3	1	1	8.2e-12	4.9e-08	33.4	0.2	5	61	48	102	32	104	0.91
PepSY_2	PF13670.6	84	IJPOELNM_00007	-	107	0.0019	18.2	0.2	1	1	3.5000000000000004e-06	0.021	14.8	0.2	6	82	10	102	5	104	0.69
PriA_3primeBD	PF17764.1	96	IJPOELNM_00007	-	107	0.099	12.6	0.1	1	2	0.07400000000000001	440.0	0.8	0.0	48	64	37	53	17	56	0.76
PriA_3primeBD	PF17764.1	96	IJPOELNM_00007	-	107	0.099	12.6	0.1	2	2	4.9e-05	0.29	11.0	0.1	17	59	51	92	49	104	0.84
Response_reg	PF00072.24	112	IJPOELNM_00008	-	221	4.5e-28	97.7	0.0	1	1	1.1e-31	6.4000000000000005e-28	97.2	0.0	1	112	3	113	3	113	0.99
Trans_reg_C	PF00486.28	77	IJPOELNM_00008	-	221	3e-19	68.9	0.0	1	2	0.26	1600.0	-0.7	0.0	45	60	104	119	93	129	0.73
Trans_reg_C	PF00486.28	77	IJPOELNM_00008	-	221	3e-19	68.9	0.0	2	2	2.3e-22	1.3999999999999999e-18	66.8	0.0	2	76	146	215	145	216	0.96
ACT	PF01842.25	67	IJPOELNM_00008	-	221	0.032	14.0	0.1	1	2	2.2e-05	0.13	12.0	0.0	6	31	5	30	2	35	0.92
ACT	PF01842.25	67	IJPOELNM_00008	-	221	0.032	14.0	0.1	2	2	0.81	4800.0	-2.6	0.0	51	64	186	199	180	201	0.63
HATPase_c	PF02518.26	112	IJPOELNM_00009	-	455	5.1e-14	52.7	0.1	1	2	2.4	7300.0	-2.5	0.0	70	94	270	293	261	321	0.7
HATPase_c	PF02518.26	112	IJPOELNM_00009	-	455	5.1e-14	52.7	0.1	2	2	4.4e-17	1.3e-13	51.4	0.0	3	109	347	447	345	450	0.79
HATPase_c_5	PF14501.6	101	IJPOELNM_00009	-	455	8e-05	22.5	0.0	1	1	5.2e-08	0.00016	21.6	0.0	2	89	346	435	345	442	0.77
HATPase_c_2	PF13581.6	125	IJPOELNM_00009	-	455	0.00072	19.5	0.1	1	1	5.2e-07	0.0015	18.4	0.1	37	110	351	425	338	438	0.79
