target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
His_biosynth	PF00977.21	229	JOHHGHHN_00001	-	72	1.8000000000000002e-13	50.5	0.1	1	1	6.6e-17	2e-13	50.4	0.1	174	228	1	58	1	59	0.96
Dus	PF01207.17	310	JOHHGHHN_00001	-	72	5.4000000000000005e-05	22.4	0.0	1	1	2e-08	5.7999999999999994e-05	22.3	0.0	173	218	8	55	4	70	0.81
NMO	PF03060.15	331	JOHHGHHN_00001	-	72	0.00049	19.6	0.2	1	1	1.6e-07	0.00049	19.6	0.2	188	222	13	50	3	65	0.77
DUF561	PF04481.12	243	JOHHGHHN_00001	-	72	0.0027	16.9	0.1	1	1	9.7e-07	0.0029	16.8	0.1	175	217	7	53	2	68	0.79
DeoC	PF01791.9	235	JOHHGHHN_00001	-	72	0.0091	15.6	0.0	1	1	3.5000000000000004e-06	0.011000000000000001	15.4	0.0	187	234	10	55	5	56	0.76
TMP-TENI	PF02581.17	181	JOHHGHHN_00001	-	72	0.073	12.4	0.2	1	1	2.7000000000000002e-05	0.08199999999999999	12.2	0.2	137	179	5	51	1	53	0.72
His_biosynth	PF00977.21	229	JOHHGHHN_00002	-	272	1.8999999999999995e-88	295.8	0.3	1	1	1.1999999999999996e-91	2.1999999999999998e-88	295.6	0.3	1	228	16	250	16	251	0.97
Dus	PF01207.17	310	JOHHGHHN_00002	-	272	8.5e-09	34.9	0.1	1	2	1.5e-07	0.00026000000000000003	20.2	0.0	141	225	44	126	39	141	0.82
Dus	PF01207.17	310	JOHHGHHN_00002	-	272	8.5e-09	34.9	0.1	2	2	2.8000000000000003e-05	0.051	12.7	0.0	169	213	198	242	164	247	0.79
NMO	PF03060.15	331	JOHHGHHN_00002	-	272	4.1e-06	26.4	8.0	1	2	0.00015	0.26	10.6	0.3	183	230	75	122	52	153	0.82
NMO	PF03060.15	331	JOHHGHHN_00002	-	272	4.1e-06	26.4	8.0	2	2	3.5e-07	0.00064	19.2	2.3	147	224	172	244	166	257	0.8
ThiG	PF05690.14	247	JOHHGHHN_00002	-	272	4.1e-05	23.0	2.0	1	2	5.7999999999999994e-05	0.1	11.9	0.2	166	217	76	127	26	156	0.81
ThiG	PF05690.14	247	JOHHGHHN_00002	-	272	4.1e-05	23.0	2.0	2	2	0.00011999999999999999	0.22	10.8	0.1	137	220	174	258	168	261	0.73
TMP-TENI	PF02581.17	181	JOHHGHHN_00002	-	272	0.00013000000000000002	21.4	0.2	1	2	0.0001	0.18	11.1	0.0	136	180	71	116	41	117	0.77
TMP-TENI	PF02581.17	181	JOHHGHHN_00002	-	272	0.00013000000000000002	21.4	0.2	2	2	0.00074	1.3	8.3	0.0	116	160	177	222	164	243	0.77
G3P_antiterm	PF04309.12	173	JOHHGHHN_00002	-	272	0.0014	18.1	0.3	1	2	1.8e-05	0.032	13.6	0.1	129	169	75	115	71	118	0.91
G3P_antiterm	PF04309.12	173	JOHHGHHN_00002	-	272	0.0014	18.1	0.3	2	2	0.051	91.0	2.4	0.0	131	165	204	239	199	243	0.77
DHO_dh	PF01180.21	295	JOHHGHHN_00002	-	272	0.0017	17.6	1.1	1	2	0.0019	3.4	6.8	0.0	231	278	74	119	69	128	0.83
DHO_dh	PF01180.21	295	JOHHGHHN_00002	-	272	0.0017	17.6	1.1	2	2	0.00027	0.49	9.6	0.2	236	281	206	250	199	259	0.8
IMPDH	PF00478.25	345	JOHHGHHN_00002	-	272	0.0062	15.6	3.8	1	3	0.72	1300.0	-1.9	0.0	144	166	19	41	8	46	0.83
IMPDH	PF00478.25	345	JOHHGHHN_00002	-	272	0.0062	15.6	3.8	2	3	0.00064	1.1	8.1	0.0	201	237	79	115	67	135	0.86
IMPDH	PF00478.25	345	JOHHGHHN_00002	-	272	0.0062	15.6	3.8	3	3	0.0007099999999999999	1.3	8.0	0.4	202	248	207	254	181	263	0.82
DUF561	PF04481.12	243	JOHHGHHN_00002	-	272	0.053	12.7	0.3	1	2	0.0067	12.0	5.0	0.1	17	87	28	113	21	118	0.65
DUF561	PF04481.12	243	JOHHGHHN_00002	-	272	0.053	12.7	0.3	2	2	0.0037	6.6	5.8	0.0	174	197	200	223	186	244	0.86
FMN_dh	PF01070.18	348	JOHHGHHN_00002	-	272	0.08800000000000001	11.8	7.3	1	2	0.00079	1.4	7.8	0.3	261	299	74	113	66	143	0.84
FMN_dh	PF01070.18	348	JOHHGHHN_00002	-	272	0.08800000000000001	11.8	7.3	2	2	0.0014	2.6	7.0	2.0	252	313	193	255	159	261	0.8
PRA-CH	PF01502.18	74	JOHHGHHN_00003	-	136	2.9999999999999995e-36	123.1	0.4	1	1	2.2e-40	3.8999999999999994e-36	122.7	0.4	1	74	34	108	34	108	0.98
PRA-PH	PF01503.17	83	JOHHGHHN_00004	-	113	1.6e-16	60.5	0.1	1	1	3.3e-20	2e-16	60.2	0.1	2	82	9	97	8	98	0.9
MazG	PF03819.17	74	JOHHGHHN_00004	-	113	0.0028	17.8	0.0	1	1	7.2e-07	0.0043	17.2	0.0	3	59	39	91	37	97	0.76
SeqA_N	PF17206.3	36	JOHHGHHN_00004	-	113	0.15	11.4	0.1	1	2	0.0002	1.2	8.5	0.1	25	32	4	11	2	13	0.9
SeqA_N	PF17206.3	36	JOHHGHHN_00004	-	113	0.15	11.4	0.1	2	2	0.077	460.0	0.2	0.0	19	28	44	53	41	54	0.8
MttA_Hcf106	PF02416.16	53	JOHHGHHN_00005	-	78	7.200000000000001e-14	50.9	0.0	1	1	8.1e-18	7.299999999999999e-14	50.8	0.0	2	48	5	51	4	74	0.92
Ni_hydr_CYTB	PF01292.20	182	JOHHGHHN_00005	-	78	0.062	12.9	0.2	1	1	8.2e-06	0.073	12.7	0.2	8	22	6	20	3	39	0.86
MttA_Hcf106	PF02416.16	53	JOHHGHHN_00006	-	265	3e-09	36.1	0.5	1	1	7.099999999999999e-12	1.4e-08	33.9	0.5	1	50	4	53	4	109	0.92
BicD	PF09730.9	719	JOHHGHHN_00006	-	265	0.006	15.1	0.1	1	1	3.8e-06	0.0077	14.7	0.1	251	321	44	108	29	125	0.81
ApoLp-III	PF07464.11	146	JOHHGHHN_00006	-	265	0.0087	16.2	0.5	1	1	7.000000000000001e-06	0.013999999999999999	15.5	0.5	34	106	35	105	27	113	0.87
Baculo_PEP_C	PF04513.12	140	JOHHGHHN_00006	-	265	0.017	15.2	0.0	1	1	1.2e-05	0.023	14.7	0.0	43	104	39	105	25	108	0.75
Fzo_mitofusin	PF04799.13	161	JOHHGHHN_00006	-	265	0.033	13.7	0.8	1	1	2.5e-05	0.049	13.2	0.8	88	149	43	106	34	109	0.87
DUF4522	PF15022.6	117	JOHHGHHN_00006	-	265	0.038	14.2	0.2	1	1	3.2e-05	0.064	13.5	0.2	75	115	48	89	35	90	0.86
Filament	PF00038.21	312	JOHHGHHN_00006	-	265	0.042	13.4	0.6	1	1	2.7000000000000002e-05	0.055	13.1	0.6	203	276	28	100	22	109	0.74
TPR_MLP1_2	PF07926.12	129	JOHHGHHN_00006	-	265	0.054000000000000006	13.6	2.0	1	1	4.3e-05	0.085	12.9	2.0	64	118	54	108	42	110	0.88
DUF1351	PF07083.11	210	JOHHGHHN_00006	-	265	0.065	13.0	0.3	1	1	4.4e-05	0.08800000000000001	12.6	0.3	36	82	53	99	35	107	0.86
TatC	PF00902.18	207	JOHHGHHN_00007	-	253	6.499999999999999e-65	218.8	22.7	1	1	4.2999999999999995e-69	7.599999999999999e-65	218.6	22.7	2	207	14	225	13	225	0.98
Trypsin_2	PF13365.6	150	JOHHGHHN_00009	-	380	6.7e-31	108.2	0.5	1	1	3.6e-34	1.1000000000000001e-30	107.5	0.5	1	150	102	236	102	236	0.98
Trypsin	PF00089.26	221	JOHHGHHN_00009	-	380	2.6e-15	56.9	0.0	1	1	1.6e-18	4.7e-15	56.0	0.0	26	218	101	260	87	263	0.77
PDZ_2	PF13180.6	82	JOHHGHHN_00009	-	380	9.8e-15	54.7	0.1	1	2	2.0	6000.0	-2.3	0.0	46	66	128	150	109	159	0.63
PDZ_2	PF13180.6	82	JOHHGHHN_00009	-	380	9.8e-15	54.7	0.1	2	2	1.1e-17	3.1999999999999996e-14	53.0	0.0	12	81	291	365	275	366	0.87
PDZ_6	PF17820.1	56	JOHHGHHN_00009	-	380	2.7000000000000005e-10	39.9	1.3	1	2	1.3	4000.0	-2.3	0.1	16	27	170	181	170	181	0.87
PDZ_6	PF17820.1	56	JOHHGHHN_00009	-	380	2.7000000000000005e-10	39.9	1.3	2	2	1.7e-13	5.1e-10	39.0	0.1	1	51	301	350	301	355	0.84
PDZ	PF00595.24	82	JOHHGHHN_00009	-	380	1.8e-08	34.6	0.0	1	2	0.23	690.0	0.7	0.0	39	55	165	181	159	197	0.85
PDZ	PF00595.24	82	JOHHGHHN_00009	-	380	1.8e-08	34.6	0.0	2	2	9.5e-11	2.8e-07	30.8	0.1	8	69	273	341	265	350	0.85
Peptidase_S46	PF10459.9	699	JOHHGHHN_00009	-	380	0.00072	18.3	3.6	1	3	4.7e-05	0.14	10.8	0.0	48	69	101	122	97	127	0.88
Peptidase_S46	PF10459.9	699	JOHHGHHN_00009	-	380	0.00072	18.3	3.6	2	3	1.5	4500.0	-4.1	0.0	230	250	162	182	160	195	0.83
