target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
DUF1329	PF07044.11	364	HFPIKPAD_00001	-	177	9.3e-33	114.0	0.2	1	1	1.1999999999999998e-36	9.999999999999999e-33	113.8	0.2	203	364	1	173	1	173	0.94
LolA_like	PF17131.4	183	HFPIKPAD_00001	-	177	1.7e-07	31.2	0.0	1	1	2.3999999999999998e-11	2.1e-07	30.8	0.0	82	182	66	173	31	174	0.85
Sigma54_activat	PF00158.26	168	HFPIKPAD_00002	-	557	6.099999999999999e-69	231.0	0.1	1	1	7.599999999999998e-72	9.799999999999997e-69	230.4	0.1	1	167	227	393	227	394	0.99
XylR_N	PF06505.11	101	HFPIKPAD_00002	-	557	7.3e-37	125.2	0.3	1	3	2.3999999999999997e-38	3e-35	120.0	0.1	1	101	8	108	8	108	0.99
XylR_N	PF06505.11	101	HFPIKPAD_00002	-	557	7.3e-37	125.2	0.3	2	3	0.094	120.0	2.5	0.0	35	85	127	175	123	182	0.77
XylR_N	PF06505.11	101	HFPIKPAD_00002	-	557	7.3e-37	125.2	0.3	3	3	9.9	13000.0	-4.0	0.1	20	37	192	211	192	211	0.7
Sigma54_activ_2	PF14532.6	138	HFPIKPAD_00002	-	557	2.4e-22	79.5	0.0	1	1	1.0000000000000001e-24	1.3e-21	77.2	0.0	1	138	228	398	228	398	0.92
V4R	PF02830.18	62	HFPIKPAD_00002	-	557	5.4e-15	55.1	1.0	1	1	8e-18	1e-14	54.3	1.0	1	62	120	181	120	181	0.98
HTH_8	PF02954.19	42	HFPIKPAD_00002	-	557	1.1e-09	37.9	0.2	1	1	1.8000000000000002e-12	2.2e-09	36.9	0.2	2	42	511	551	510	551	0.97
Mg_chelatase	PF01078.21	207	HFPIKPAD_00002	-	557	1.2e-08	34.6	0.1	1	2	0.0004	0.51	9.7	0.0	9	45	235	271	226	286	0.88
Mg_chelatase	PF01078.21	207	HFPIKPAD_00002	-	557	1.2e-08	34.6	0.1	2	2	4.3e-08	5.5e-05	22.6	0.0	93	158	306	369	296	381	0.87
AAA_2	PF07724.14	171	HFPIKPAD_00002	-	557	4.3e-08	33.5	0.0	1	2	1.1000000000000001e-10	1.5e-07	31.7	0.0	4	140	249	380	246	427	0.84
AAA_2	PF07724.14	171	HFPIKPAD_00002	-	557	4.3e-08	33.5	0.0	2	2	3.3	4200.0	-2.3	0.0	99	120	447	468	444	471	0.87
AAA_5	PF07728.14	138	HFPIKPAD_00002	-	557	2.6e-07	30.7	0.0	1	1	4.2999999999999996e-10	5.5e-07	29.7	0.0	2	123	251	370	250	387	0.81
AAA	PF00004.29	132	HFPIKPAD_00002	-	557	2.5e-06	27.9	0.2	1	2	0.83	1100.0	0.0	0.1	65	99	189	217	188	242	0.81
AAA	PF00004.29	132	HFPIKPAD_00002	-	557	2.5e-06	27.9	0.2	2	2	1.7e-08	2.2e-05	24.9	0.0	1	112	251	371	251	389	0.79
MCM	PF00493.23	224	HFPIKPAD_00002	-	557	0.0012	18.0	0.0	1	1	2.2e-06	0.0029	16.8	0.0	54	174	245	370	233	384	0.74
AAA_3	PF07726.11	131	HFPIKPAD_00002	-	557	0.057	13.3	0.0	1	1	8.4e-05	0.11	12.4	0.0	2	108	251	365	250	374	0.73
T2SSE	PF00437.20	273	HFPIKPAD_00002	-	557	0.087	11.9	0.0	1	1	0.00014	0.18	10.8	0.0	115	163	234	282	200	289	0.84
RsgA_GTPase	PF03193.16	167	HFPIKPAD_00002	-	557	0.09	12.7	0.0	1	1	0.00013000000000000002	0.16	11.9	0.0	79	123	227	272	191	280	0.71
IstB_IS21	PF01695.17	178	HFPIKPAD_00002	-	557	0.18	11.6	0.0	1	1	0.00028	0.36	10.5	0.0	48	135	249	344	230	351	0.73
