target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
Lipase_GDSL_2	PF13472.6	179	PBJJKAKN_00001	-	402	6e-25	88.7	0.0	1	1	2.3999999999999998e-28	1.1e-24	87.8	0.0	2	175	227	381	226	383	0.89
Lipase_GDSL	PF00657.22	200	PBJJKAKN_00001	-	402	6.8e-13	49.0	0.0	1	1	2.7e-16	1.2e-12	48.2	0.0	2	199	225	389	224	390	0.83
Lipase_GDSL_3	PF14606.6	178	PBJJKAKN_00001	-	402	0.038	14.1	0.0	1	2	0.12	550.0	0.6	0.0	93	146	80	133	59	139	0.82
Lipase_GDSL_3	PF14606.6	178	PBJJKAKN_00001	-	402	0.038	14.1	0.0	2	2	7.7e-05	0.35	11.0	0.0	20	104	239	331	223	354	0.81
OSK	PF17182.4	202	PBJJKAKN_00001	-	402	0.13	11.5	0.0	1	1	5.1e-05	0.23	10.7	0.0	51	123	261	335	249	344	0.88
MacB_PCD	PF12704.7	195	PBJJKAKN_00002	-	804	3.7e-05	24.2	3.5	1	3	7.000000000000001e-06	0.031	14.6	0.0	4	169	18	180	15	208	0.61
MacB_PCD	PF12704.7	195	PBJJKAKN_00002	-	804	3.7e-05	24.2	3.5	2	3	4.0	18000.0	-6.0	2.8	4	19	248	263	246	264	0.82
MacB_PCD	PF12704.7	195	PBJJKAKN_00002	-	804	3.7e-05	24.2	3.5	3	3	0.00018999999999999998	0.85	9.9	0.0	85	140	528	600	458	652	0.61
FtsX	PF02687.21	96	PBJJKAKN_00002	-	804	0.0017	18.8	42.4	1	6	0.81	3600.0	-1.5	0.0	70	84	17	31	10	49	0.53
FtsX	PF02687.21	96	PBJJKAKN_00002	-	804	0.0017	18.8	42.4	2	6	0.033	150.0	2.9	0.2	68	93	243	268	235	270	0.82
FtsX	PF02687.21	96	PBJJKAKN_00002	-	804	0.0017	18.8	42.4	3	6	4.1e-06	0.018000000000000002	15.5	8.7	4	85	274	353	272	406	0.66
FtsX	PF02687.21	96	PBJJKAKN_00002	-	804	0.0017	18.8	42.4	4	6	0.039	170.0	2.7	4.5	18	86	404	471	401	475	0.59
FtsX	PF02687.21	96	PBJJKAKN_00002	-	804	0.0017	18.8	42.4	5	6	0.21	930.0	0.4	0.3	29	46	683	700	670	705	0.89
