target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
IMS	PF00817.20	150	ELJJMHGF_00001	-	295	1.0000000000000001e-24	87.3	0.0	1	1	6.799999999999999e-28	1.7e-24	86.5	0.0	51	150	1	98	1	98	0.97
IMS_C	PF11799.8	118	ELJJMHGF_00001	-	295	9.300000000000001e-10	39.2	0.1	1	1	6.999999999999999e-13	1.8e-09	38.3	0.1	5	109	181	285	178	292	0.83
IMS_HHH	PF11798.8	32	ELJJMHGF_00001	-	295	3.6e-09	36.4	0.0	1	1	3.7e-12	9.4e-09	35.1	0.0	1	32	110	141	110	141	0.97
DNA_pol_lambd_f	PF10391.9	50	ELJJMHGF_00001	-	295	0.0032	17.3	0.0	1	1	2.8999999999999998e-06	0.0075	16.1	0.0	3	30	122	149	121	171	0.87
Cdd1	PF11731.8	86	ELJJMHGF_00001	-	295	0.013999999999999999	15.6	0.0	1	1	1.2e-05	0.031	14.5	0.0	8	44	122	158	117	165	0.86
DUF4332	PF14229.6	122	ELJJMHGF_00001	-	295	0.026000000000000002	14.8	0.0	1	1	1.8e-05	0.047	13.9	0.0	13	113	83	179	72	180	0.79
HHH_5	PF14520.6	57	ELJJMHGF_00001	-	295	0.052000000000000005	14.1	0.0	1	2	0.00013000000000000002	0.34	11.5	0.0	4	39	122	157	119	169	0.88
HHH_5	PF14520.6	57	ELJJMHGF_00001	-	295	0.052000000000000005	14.1	0.0	2	2	0.91	2300.0	-0.7	0.0	33	52	179	198	173	201	0.82
RtcB	PF01139.17	412	ELJJMHGF_00002	-	324	4.1999999999999994e-51	174.4	0.0	1	2	4.5e-15	8.000000000000001e-11	41.8	0.0	1	82	29	120	29	125	0.76
RtcB	PF01139.17	412	ELJJMHGF_00002	-	324	4.1999999999999994e-51	174.4	0.0	2	2	2.5e-42	4.5e-38	131.5	0.0	132	337	115	296	97	306	0.89
RtcB	PF01139.17	412	ELJJMHGF_00003	-	53	7.7e-10	38.5	0.0	1	1	9.099999999999999e-14	8.199999999999999e-10	38.4	0.0	367	411	2	46	1	47	0.96
Nipped-B_C	PF12830.7	190	ELJJMHGF_00003	-	53	0.078	12.9	0.0	1	1	8.7e-06	0.078	12.9	0.0	29	58	22	51	7	53	0.85
RF-1	PF00472.20	116	ELJJMHGF_00004	-	204	3.4e-24	85.0	0.6	1	1	3.1e-28	5.5000000000000006e-24	84.3	0.6	6	85	103	181	99	197	0.81
Peptidase_M20	PF01546.28	207	ELJJMHGF_00005	-	485	1.1000000000000001e-20	74.3	0.0	1	1	2.9999999999999996e-24	1.8000000000000002e-20	73.6	0.0	2	206	73	480	72	481	0.88
M20_dimer	PF07687.14	109	ELJJMHGF_00005	-	485	2.7e-09	36.9	0.0	1	2	2.3999999999999998e-11	1.5e-07	31.3	0.0	7	107	202	293	199	295	0.85
M20_dimer	PF07687.14	109	ELJJMHGF_00005	-	485	2.7e-09	36.9	0.0	2	2	0.013999999999999999	85.0	3.1	0.0	14	66	388	431	382	439	0.86
Peptidase_M28	PF04389.17	198	ELJJMHGF_00005	-	485	0.03	14.0	0.0	1	1	9.2e-06	0.055	13.2	0.0	12	82	68	156	54	181	0.79
Pribosyltran	PF00156.27	159	ELJJMHGF_00006	-	152	1.6e-15	57.0	0.0	1	1	1.1000000000000002e-19	1.9999999999999998e-15	56.7	0.0	4	157	11	144	8	146	0.85
DUF1100	PF06500.11	411	ELJJMHGF_00007	-	414	1.799999999999999e-213	708.8	0.0	1	1	4.499999999999998e-217	1.9999999999999996e-213	708.6	0.0	1	411	1	414	1	414	0.99
AXE1	PF05448.12	317	ELJJMHGF_00007	-	414	0.0044	15.7	0.0	1	2	0.013999999999999999	64.0	2.1	0.0	58	117	170	230	142	254	0.73
AXE1	PF05448.12	317	ELJJMHGF_00007	-	414	0.0044	15.7	0.0	2	2	1.7e-05	0.076	11.7	0.0	161	207	252	299	246	320	0.84
DLH	PF01738.18	217	ELJJMHGF_00007	-	414	0.047	13.2	0.0	1	1	2.4e-05	0.11	12.1	0.0	84	128	251	296	225	331	0.8
Chlorophyllase2	PF12740.7	254	ELJJMHGF_00007	-	414	0.11	11.3	0.0	1	1	5e-05	0.22	10.4	0.0	2	129	179	301	178	318	0.77
Crl	PF07417.12	120	ELJJMHGF_00008	-	133	3.3e-54	182.1	0.2	1	1	2.1000000000000002e-58	3.7e-54	181.9	0.2	2	119	5	122	4	123	0.98
Porin_1	PF00267.21	340	ELJJMHGF_00009	-	350	1.3999999999999997e-150	501.4	23.7	1	1	2.6999999999999996e-154	1.5999999999999996e-150	501.2	23.7	1	340	26	350	26	350	0.99
Porin_4	PF13609.6	312	ELJJMHGF_00009	-	350	9.2e-20	71.6	30.5	1	1	1.8e-23	1.1000000000000002e-19	71.4	29.7	4	305	11	324	5	333	0.76
BBP2_2	PF10082.9	379	ELJJMHGF_00009	-	350	0.00021	20.3	1.2	1	2	0.047	280.0	0.1	0.1	63	369	35	92	15	112	0.57
BBP2_2	PF10082.9	379	ELJJMHGF_00009	-	350	0.00021	20.3	1.2	2	2	1.1e-07	0.0006799999999999999	18.6	0.1	292	378	262	349	233	350	0.82
AA_kinase	PF00696.28	241	ELJJMHGF_00010	-	367	2.9999999999999997e-44	151.4	1.9	1	1	4.5e-48	4e-44	151.0	1.9	2	241	6	235	5	235	0.95
PUA	PF01472.20	74	ELJJMHGF_00010	-	367	7.6e-22	77.1	0.0	1	1	2.5000000000000003e-25	2.3e-21	75.6	0.0	1	74	276	350	276	350	0.98
Aldedh	PF00171.22	462	ELJJMHGF_00011	-	416	4.3e-20	71.7	2.1	1	2	5.7e-21	5.1e-17	61.5	0.3	37	298	8	282	2	298	0.82
Aldedh	PF00171.22	462	ELJJMHGF_00011	-	416	4.3e-20	71.7	2.1	2	2	2.5e-05	0.23	10.0	0.1	377	461	319	406	317	407	0.75
DUF1487	PF07368.11	215	ELJJMHGF_00011	-	416	0.032	13.7	0.0	1	1	7.699999999999999e-06	0.069	12.6	0.0	11	57	230	277	224	306	0.87
Phage_integrase	PF00589.22	172	ELJJMHGF_00013	-	387	5.3999999999999996e-48	163.0	0.6	1	2	0.037000000000000005	660.0	-0.0	0.1	69	123	56	112	37	132	0.66
Phage_integrase	PF00589.22	172	ELJJMHGF_00013	-	387	5.3999999999999996e-48	163.0	0.6	2	2	1.2999999999999997e-51	2.3e-47	161.0	0.0	2	170	185	353	184	355	0.98
DUF2584	PF10763.9	81	ELJJMHGF_00015	-	94	0.086	13.0	0.1	1	2	0.61	11000.0	-3.3	0.0	31	35	23	27	17	29	0.56
DUF2584	PF10763.9	81	ELJJMHGF_00015	-	94	0.086	13.0	0.1	2	2	9.9e-06	0.18	12.0	0.0	6	38	40	72	37	76	0.9
DUF550	PF04447.12	97	ELJJMHGF_00016	-	321	2e-45	152.8	0.3	1	1	2.1e-49	3.7e-45	152.0	0.3	1	96	104	199	104	200	0.98
Ead_Ea22	PF13935.6	139	ELJJMHGF_00018	-	214	5.8e-24	85.3	3.4	1	1	2.2000000000000002e-27	8.000000000000001e-24	84.9	3.4	2	139	2	165	1	165	0.92
HSBP1	PF06825.12	51	ELJJMHGF_00018	-	214	0.032	14.1	0.6	1	1	2e-05	0.07200000000000001	13.0	0.6	23	41	148	166	145	173	0.9
JIP_LZII	PF16471.5	71	ELJJMHGF_00018	-	214	0.24	11.6	3.2	1	2	0.0077	28.0	5.0	1.1	10	30	74	94	71	124	0.76
JIP_LZII	PF16471.5	71	ELJJMHGF_00018	-	214	0.24	11.6	3.2	2	2	0.0033	12.0	6.2	0.0	48	68	146	166	130	168	0.91
THOC7	PF05615.13	132	ELJJMHGF_00018	-	214	0.43	10.9	6.3	1	2	0.00026000000000000003	0.93	9.8	3.2	72	106	80	114	70	124	0.87
THOC7	PF05615.13	132	ELJJMHGF_00018	-	214	0.43	10.9	6.3	2	2	0.067	240.0	2.0	0.1	76	97	146	167	128	174	0.84
ZapA	PF05164.13	88	ELJJMHGF_00018	-	214	5.1	7.6	11.3	1	2	0.057	200.0	2.5	6.9	44	88	59	106	53	124	0.65
ZapA	PF05164.13	88	ELJJMHGF_00018	-	214	5.1	7.6	11.3	2	2	0.0058	21.0	5.6	0.1	13	45	142	173	140	191	0.84
DUF2737	PF10930.8	53	ELJJMHGF_00020	-	56	1.9e-22	78.6	0.7	1	1	1.3e-26	2.3e-22	78.3	0.7	1	53	1	55	1	55	0.94
DUF2856	PF11043.8	97	ELJJMHGF_00021	-	97	2.5e-66	219.9	0.7	1	1	1.4999999999999998e-70	2.799999999999999e-66	219.8	0.7	1	97	1	97	1	97	1.0
Rad52_Rad22	PF04098.15	153	ELJJMHGF_00022	-	235	3.6e-24	85.4	0.1	1	1	2.8e-27	5.1e-23	81.7	0.1	8	153	5	136	3	136	0.94
Phage_Arf	PF17585.2	47	ELJJMHGF_00023	-	47	5.7e-34	115.8	2.4	1	1	6.799999999999999e-38	6.1e-34	115.7	2.4	1	47	1	47	1	47	0.99
EF-hand_7	PF13499.6	71	ELJJMHGF_00023	-	47	0.083	13.4	0.3	1	1	2.8999999999999997e-05	0.26	11.8	0.3	39	70	15	46	1	47	0.82
DUF5444	PF17519.2	62	ELJJMHGF_00024	-	62	9.499999999999999e-33	112.0	0.4	1	1	1.1e-36	9.999999999999999e-33	111.9	0.4	1	62	1	62	1	62	0.99
SGS	PF05002.15	83	ELJJMHGF_00024	-	62	0.027999999999999997	14.5	0.0	1	1	4e-06	0.036000000000000004	14.2	0.0	27	63	15	52	7	61	0.82
Lambda_CIII	PF02061.16	42	ELJJMHGF_00025	-	50	1.8999999999999998e-24	85.4	0.1	1	1	2.3999999999999998e-28	2.2e-24	85.2	0.1	1	42	2	43	2	43	0.99
DUF1737	PF08410.10	53	ELJJMHGF_00025	-	50	0.016	15.1	0.0	1	1	2.2e-06	0.02	14.7	0.0	9	33	12	36	9	39	0.86
DUF2624	PF11116.8	83	ELJJMHGF_00026	-	41	0.0048	17.8	0.1	1	1	2.7e-07	0.0049	17.7	0.1	30	68	2	40	1	41	0.93
Ral	PF11058.8	66	ELJJMHGF_00028	-	66	1.1e-45	153.0	5.4	1	1	1.3e-49	1.1999999999999998e-45	152.9	5.4	1	66	1	66	1	66	0.99
CRM1_repeat_2	PF18784.1	68	ELJJMHGF_00028	-	66	0.15	11.7	0.1	1	1	2.1e-05	0.19	11.4	0.1	19	38	26	44	21	57	0.86
DUF2767	PF10965.8	67	ELJJMHGF_00030	-	69	4.3e-30	103.5	1.6	1	1	2.6e-34	4.7000000000000004e-30	103.4	1.6	1	67	1	67	1	67	0.99
BstA	-	285	ELJJMHGF_00031	-	307	1.5999999999999995e-127	424.4	0.0	1	1	9.999999999999997e-132	1.7999999999999996e-127	424.2	0.0	1	284	12	295	12	296	0.99
Peptidase_S24	PF00717.23	70	ELJJMHGF_00032	-	211	3.5e-11	42.9	0.1	1	1	1.8000000000000002e-14	5.4e-11	42.3	0.1	2	63	120	183	119	189	0.88
HTH_3	PF01381.22	55	ELJJMHGF_00032	-	211	0.0014	18.6	0.0	1	1	8.8e-07	0.0026	17.8	0.0	10	55	1	45	1	45	0.96
YdaS_antitoxin	PF15943.5	65	ELJJMHGF_00032	-	211	0.0041	17.0	0.1	1	1	2.5e-06	0.0075	16.1	0.1	10	40	2	32	1	46	0.84
Phage_CI_repr	PF07022.13	65	ELJJMHGF_00032	-	211	0.013999999999999999	15.4	0.0	1	1	7.2000000000000005e-06	0.022000000000000002	14.9	0.0	15	65	3	53	1	53	0.93
HTH_31	PF13560.6	64	ELJJMHGF_00032	-	211	0.053	13.9	0.1	1	1	3.1e-05	0.094	13.1	0.1	15	57	1	41	1	46	0.89
HTH_24	PF13412.6	48	ELJJMHGF_00032	-	211	0.21	11.2	1.0	1	3	0.00078	2.3	7.8	0.0	18	36	1	19	1	22	0.93
HTH_24	PF13412.6	48	ELJJMHGF_00032	-	211	0.21	11.2	1.0	2	3	0.27	800.0	-0.3	0.0	17	29	28	40	25	42	0.8
HTH_24	PF13412.6	48	ELJJMHGF_00032	-	211	0.21	11.2	1.0	3	3	0.28	840.0	-0.4	0.0	36	44	158	166	157	167	0.85
YdaS_antitoxin	PF15943.5	65	ELJJMHGF_00033	-	71	1.3e-23	82.6	0.2	1	1	9.000000000000002e-27	1.5e-23	82.4	0.2	1	60	6	64	6	68	0.97
P22_Cro	PF14549.6	60	ELJJMHGF_00033	-	71	0.0007599999999999999	19.3	0.5	1	1	5.8e-07	0.00095	19.0	0.5	4	52	8	58	5	65	0.92
HTH_23	PF13384.6	50	ELJJMHGF_00033	-	71	0.0018	18.0	0.0	1	1	1.9e-06	0.003	17.3	0.0	19	40	15	36	4	43	0.8
HTH_3	PF01381.22	55	ELJJMHGF_00033	-	71	0.006999999999999999	16.4	0.0	1	1	8.2e-06	0.013000000000000001	15.5	0.0	11	49	15	52	14	57	0.92
HTH_Tnp_1_2	PF13022.6	123	ELJJMHGF_00033	-	71	0.013999999999999999	15.5	0.0	1	1	8.900000000000001e-06	0.013999999999999999	15.5	0.0	27	48	14	35	4	59	0.91
HTH_Tnp_ISL3	PF13542.6	52	ELJJMHGF_00033	-	71	0.022000000000000002	14.1	0.0	1	1	1.9e-05	0.031	13.7	0.0	22	49	8	35	1	36	0.78
HTH_36	PF13730.6	55	ELJJMHGF_00033	-	71	0.033	14.1	0.0	1	1	3.1e-05	0.05	13.6	0.0	27	46	15	34	3	36	0.9
HTH_37	PF13744.6	80	ELJJMHGF_00033	-	71	0.054000000000000006	13.5	0.0	1	1	4.7e-05	0.077	13.0	0.0	32	76	14	56	4	58	0.83
HTH_31	PF13560.6	64	ELJJMHGF_00033	-	71	0.06	13.7	0.1	1	1	6.9e-05	0.11	12.8	0.1	16	51	15	48	14	71	0.82
HTH_Crp_2	PF13545.6	68	ELJJMHGF_00033	-	71	0.061	13.3	0.0	1	2	0.00011	0.18	11.8	0.0	18	42	10	34	2	36	0.84
HTH_Crp_2	PF13545.6	68	ELJJMHGF_00033	-	71	0.061	13.3	0.0	2	2	0.96	1600.0	-0.8	0.0	24	33	61	70	45	71	0.7
HTH_17	PF12728.7	51	ELJJMHGF_00033	-	71	0.085	13.1	0.0	1	1	7.8e-05	0.13	12.5	0.0	6	29	18	41	15	61	0.79
Phage_CII	PF05269.11	91	ELJJMHGF_00034	-	93	7e-30	103.1	0.1	1	1	3.3e-33	7.499999999999999e-30	103.0	0.1	3	91	4	92	1	92	0.96
DUF3243	PF11588.8	79	ELJJMHGF_00034	-	93	0.011000000000000001	16.1	0.1	1	2	0.58	1300.0	-0.2	0.0	18	31	29	42	14	48	0.76
