target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
DUF4055	PF13264.6	135	HABFNDBF_00001	-	456	6.9000000000000004e-40	136.3	0.0	1	1	1.1e-43	1e-39	135.8	0.0	1	135	241	380	241	380	0.98
HipN	PF18253.1	42	HABFNDBF_00001	-	456	0.15	11.8	0.0	1	1	3.8e-05	0.34	10.6	0.0	16	41	309	334	299	334	0.88
Terminase_6C	PF17289.2	155	HABFNDBF_00002	-	226	0.12	12.5	0.1	1	2	1.2e-05	0.22	11.6	0.0	2	64	49	108	48	152	0.89
Terminase_6C	PF17289.2	155	HABFNDBF_00002	-	226	0.12	12.5	0.1	2	2	0.51	9100.0	-3.4	0.0	22	39	199	216	197	217	0.79
rve	PF00665.26	119	HABFNDBF_00005	-	327	1.5e-21	76.8	0.0	1	1	1.3999999999999999e-24	2.8000000000000004e-21	75.9	0.0	3	116	118	232	117	234	0.96
rve_3	PF13683.6	67	HABFNDBF_00005	-	327	5.5e-15	54.9	0.3	1	2	2.6	5200.0	-2.7	0.1	40	52	12	24	9	24	0.86
rve_3	PF13683.6	67	HABFNDBF_00005	-	327	5.5e-15	54.9	0.3	2	2	2.7999999999999997e-18	5.5e-15	54.9	0.3	2	67	207	273	206	273	0.96
DDE_Tnp_IS240	PF13610.6	140	HABFNDBF_00005	-	327	1.5e-10	41.5	0.0	1	1	1.3e-13	2.6000000000000003e-10	40.7	0.0	12	134	133	260	121	265	0.86
HTH_32	PF13565.6	73	HABFNDBF_00005	-	327	2.2999999999999998e-08	34.5	0.2	1	2	1.1999999999999999e-11	2.2999999999999998e-08	34.5	0.2	5	73	21	90	15	90	0.78
HTH_32	PF13565.6	73	HABFNDBF_00005	-	327	2.2999999999999998e-08	34.5	0.2	2	2	1.3	2600.0	-0.9	0.3	63	63	281	281	211	307	0.63
HTH_29	PF13551.6	63	HABFNDBF_00005	-	327	3.9e-05	23.6	4.2	1	3	7.6e-06	0.015	15.3	0.1	11	61	4	50	1	51	0.75
HTH_29	PF13551.6	63	HABFNDBF_00005	-	327	3.9e-05	23.6	4.2	2	3	0.0027	5.4	7.1	0.1	25	59	82	110	78	113	0.8
HTH_29	PF13551.6	63	HABFNDBF_00005	-	327	3.9e-05	23.6	4.2	3	3	0.25	500.0	0.8	0.1	24	43	286	305	283	323	0.75
DUF1391	PF07151.12	48	HABFNDBF_00005	-	327	0.032	14.1	0.3	1	1	3.9e-05	0.077	12.8	0.3	31	48	239	256	227	256	0.9
rve_2	PF13333.6	52	HABFNDBF_00005	-	327	0.034	14.3	0.0	1	1	3.3e-05	0.065	13.4	0.0	1	46	225	275	225	278	0.83
Arm-DNA-bind_4	PF14657.6	46	HABFNDBF_00005	-	327	0.057	13.2	0.0	1	1	7e-05	0.14	11.9	0.0	22	38	240	256	238	262	0.88
BACK	PF07707.15	103	HABFNDBF_00005	-	327	0.13	12.4	0.0	1	1	0.00013000000000000002	0.26	11.4	0.0	26	84	50	108	48	116	0.92
HTH_Tnp_1	PF01527.20	75	HABFNDBF_00006	-	160	2.3e-17	63.1	1.1	1	2	4.0999999999999995e-09	6.6e-06	26.4	0.0	10	57	7	55	2	67	0.74
HTH_Tnp_1	PF01527.20	75	HABFNDBF_00006	-	160	2.3e-17	63.1	1.1	2	2	4.2e-12	6.8000000000000005e-09	35.9	0.8	5	74	60	129	56	130	0.85
HTH_28	PF13518.6	52	HABFNDBF_00006	-	160	6.900000000000001e-06	26.1	0.3	1	3	2.9e-07	0.00047000000000000004	20.2	0.0	12	40	21	49	7	57	0.81
HTH_28	PF13518.6	52	HABFNDBF_00006	-	160	6.900000000000001e-06	26.1	0.3	2	3	0.054000000000000006	88.0	3.3	0.0	14	37	81	104	67	108	0.82
HTH_28	PF13518.6	52	HABFNDBF_00006	-	160	6.900000000000001e-06	26.1	0.3	3	3	2.6	4200.0	-2.0	0.2	9	21	129	142	127	143	0.62
HTH_23	PF13384.6	50	HABFNDBF_00006	-	160	0.0007	19.3	0.0	1	2	2e-06	0.0033	17.2	0.0	10	45	11	49	5	54	0.78
HTH_23	PF13384.6	50	HABFNDBF_00006	-	160	0.0007	19.3	0.0	2	2	1.3	2200.0	-1.3	0.0	7	27	67	86	63	105	0.6
HTH_Tnp_1_2	PF13022.6	123	HABFNDBF_00006	-	160	0.00073	19.7	0.6	1	2	1.3000000000000001e-05	0.022000000000000002	14.9	0.0	15	49	13	44	1	50	0.74
HTH_Tnp_1_2	PF13022.6	123	HABFNDBF_00006	-	160	0.00073	19.7	0.6	2	2	0.053	87.0	3.3	0.2	18	85	71	136	55	154	0.64
HTH_17	PF12728.7	51	HABFNDBF_00006	-	160	0.001	19.2	0.4	1	3	4e-06	0.0066	16.6	0.0	2	24	22	44	21	57	0.92
HTH_17	PF12728.7	51	HABFNDBF_00006	-	160	0.001	19.2	0.4	2	3	0.86	1400.0	-0.5	0.0	4	12	79	87	76	92	0.63
HTH_17	PF12728.7	51	HABFNDBF_00006	-	160	0.001	19.2	0.4	3	3	8.0	13000.0	-3.6	0.1	5	11	137	143	136	146	0.85
DUF1804	PF08822.11	164	HABFNDBF_00006	-	160	0.002	18.1	0.2	1	2	1.3000000000000001e-05	0.022000000000000002	14.8	0.0	19	48	21	50	3	51	0.95
DUF1804	PF08822.11	164	HABFNDBF_00006	-	160	0.002	18.1	0.2	2	2	0.25	410.0	0.8	0.1	5	29	119	143	115	158	0.79
HTH_Tnp_ISL3	PF13542.6	52	HABFNDBF_00006	-	160	0.012	15.1	0.1	1	2	2.6000000000000002e-05	0.043	13.2	0.0	26	47	21	41	20	45	0.91
HTH_Tnp_ISL3	PF13542.6	52	HABFNDBF_00006	-	160	0.012	15.1	0.1	2	2	3.1	5100.0	-3.0	0.0	31	38	80	87	74	88	0.58
Chorismate_bind	PF00425.18	258	HABFNDBF_00006	-	160	0.016	14.8	0.1	1	1	1.4000000000000001e-05	0.022000000000000002	14.3	0.1	68	140	90	158	44	160	0.79
HTH_29	PF13551.6	63	HABFNDBF_00006	-	160	0.057999999999999996	13.4	0.0	1	1	7.099999999999999e-05	0.12	12.5	0.0	14	40	23	49	8	60	0.86
LZ_Tnp_IS481	PF13011.6	85	HABFNDBF_00006	-	160	0.11	13.1	0.0	1	1	0.00013000000000000002	0.21	12.1	0.0	24	53	20	49	3	64	0.88
DUF349	PF03993.12	75	HABFNDBF_00006	-	160	0.26	11.6	6.5	1	2	0.11	170.0	2.6	0.0	32	42	6	16	2	47	0.8
DUF349	PF03993.12	75	HABFNDBF_00006	-	160	0.26	11.6	6.5	2	2	0.0021	3.3	8.1	4.6	22	48	113	139	111	152	0.87
Lipocalin_2	PF08212.12	146	HABFNDBF_00007	-	164	3.4999999999999993e-39	134.1	0.0	1	1	4.3e-43	3.9e-39	133.9	0.0	2	141	26	160	25	164	0.97
Lipocalin	PF00061.23	144	HABFNDBF_00007	-	164	6.3e-11	42.7	0.0	1	1	8.5e-15	7.6e-11	42.4	0.0	2	138	32	161	31	164	0.86
DUF1161	PF06649.12	52	HABFNDBF_00008	-	77	4.1e-20	71.7	2.1	1	1	5.5999999999999996e-24	5e-20	71.4	2.1	1	52	23	76	23	76	0.99
DUF2500	PF10694.9	109	HABFNDBF_00008	-	77	0.04	14.4	0.2	1	1	5e-06	0.045	14.3	0.2	4	57	11	64	6	76	0.75
Phage_lysis	PF03245.13	126	HABFNDBF_00009	-	156	1.5999999999999998e-30	105.8	0.5	1	1	5.4e-34	2e-30	105.5	0.5	22	126	53	155	30	155	0.9
Phasin	PF05597.11	126	HABFNDBF_00009	-	156	0.069	13.2	0.4	1	1	4e-05	0.14	12.1	0.4	83	123	52	91	22	94	0.7
DUF4407	PF14362.6	298	HABFNDBF_00009	-	156	0.11	11.8	1.4	1	1	4.2e-05	0.15	11.4	1.4	112	192	36	126	25	151	0.7
TPR_MLP1_2	PF07926.12	129	HABFNDBF_00009	-	156	0.29	11.2	5.7	1	2	1.8e-05	0.066	13.3	1.2	10	75	26	91	22	97	0.92
TPR_MLP1_2	PF07926.12	129	HABFNDBF_00009	-	156	0.29	11.2	5.7	2	2	0.27	970.0	-0.2	0.2	80	104	116	140	97	147	0.55
Fib_alpha	PF08702.10	143	HABFNDBF_00009	-	156	0.37	11.0	5.7	1	2	0.017	61.0	3.8	1.6	45	112	27	90	21	102	0.44
Fib_alpha	PF08702.10	143	HABFNDBF_00009	-	156	0.37	11.0	5.7	2	2	0.00021	0.74	10.0	3.1	31	113	69	152	53	154	0.72
