target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3	file
HTH_Tnp_1	PF01527.20	75	HJKFIDMD_00003	-	167	4.5e-14	52.5	1.4	1	2	4.2e-08	5.8e-05	23.3	0.0	7	59	11	64	8	68	0.81	NZ_CAADJH010000002.1_1520985-1521881.tsv
rve	PF00665.26	119	HJKFIDMD_00004	-	283	1.4000000000000002e-23	83.3	0.1	1	2	2.2	8000.0	-3.0	0.0	73	101	31	60	7	63	0.65	NZ_CAADJH010000002.1_1520985-1521881.tsv
DUF4062	PF13271.6	83	HJKFIDMD_00005	-	321	4.5e-27	94.2	0.0	1	2	7.1e-30	1.3e-26	92.8	0.0	1	83	6	88	6	88	0.99	NZ_CAADJH010000002.1_1520985-1521881.tsv
Ogr_Delta	PF04606.12	47	HJKFIDMD_00006	-	90	1.9e-15	56.6	4.3	1	1	1.2e-18	2.8e-15	56.0	4.3	1	47	4	50	4	50	0.97	NZ_CAADJH010000002.1_1520985-1521881.tsv
Psu	PF07455.11	174	HJKFIDMD_00007	-	253	0.056	13.0	5.9	1	2	0.014	61.0	3.1	2.8	2	32	18	48	17	98	0.85	NZ_CAADJH010000002.1_1520985-1521881.tsv
DUF927	PF06048.11	287	HJKFIDMD_00008	-	890	1.6999999999999994e-98	329.8	0.3	1	1	1.0999999999999995e-101	2.4999999999999998e-98	329.2	0.3	1	286	330	612	330	613	0.98	NZ_CAADJH010000002.1_1520985-1521881.tsv
DUF5375	PF17345.2	106	HJKFIDMD_00009	-	127	2e-14	53.4	0.2	1	1	1.3999999999999999e-18	2.5e-14	53.0	0.2	6	96	10	105	5	112	0.86	NZ_CAADJH010000002.1_1520985-1521881.tsv
DUF4222	PF13973.6	53	HJKFIDMD_00011	-	119	0.0023	17.5	0.0	1	2	1.3e-06	0.023	14.3	0.0	3	23	5	25	3	32	0.89	NZ_CAADJH010000002.1_1520985-1521881.tsv
Phage_AlpA	PF05930.12	51	HJKFIDMD_00013	-	71	2.1e-08	33.9	0.2	1	1	5.5e-12	2.5e-08	33.6	0.2	15	51	23	60	12	60	0.88	NZ_CAADJH010000002.1_1520985-1521881.tsv
Arm-DNA-bind_3	PF13356.6	74	HJKFIDMD_00015	-	423	5e-17	62.0	0.4	1	1	1.7e-20	1e-16	61.0	0.4	2	73	7	90	6	91	0.89	NZ_CAADJH010000002.1_1520985-1521881.tsv
Phage_AlpA	PF05930.12	51	HJKFIDMD_00016	-	66	0.0084	15.9	0.0	1	1	1.2e-06	0.01	15.6	0.0	4	38	11	45	8	49	0.88	NZ_CAADJH010000002.1_1520985-1521881.tsv
DUF551	PF04448.12	69	HJKFIDMD_00018	-	261	1.4e-11	45.1	3.8	1	1	8.2e-15	7.3e-11	42.8	3.8	1	69	199	256	199	256	0.79	NZ_CAADJH010000002.1_1520985-1521881.tsv
Ead_Ea22	PF13935.6	139	HJKFIDMD_00019	-	138	1e-14	55.3	1.8	1	1	6.999999999999998e-19	1.3e-14	55.1	1.8	1	113	2	102	2	133	0.8	NZ_CAADJH010000002.1_1520985-1521881.tsv
DUF2856	PF11043.8	97	HJKFIDMD_00021	-	97	1.2e-62	208.1	0.6	1	1	7.399999999999997e-67	1.3e-62	208.0	0.6	1	97	1	97	1	97	0.99	NZ_CAADJH010000002.1_1520985-1521881.tsv
ERF	PF04404.12	153	HJKFIDMD_00023	-	201	1.8e-38	131.8	0.4	1	1	2.8999999999999996e-42	2.6e-38	131.3	0.4	1	147	5	144	5	151	0.87	NZ_CAADJH010000002.1_1520985-1521881.tsv
EC042_2821	PF18740.1	189	HJKFIDMD_00028	-	80	0.084	12.8	0.0	1	1	5.400000000000002e-06	0.097	12.6	0.0	125	177	29	77	15	79	0.84	NZ_CAADJH010000002.1_1520985-1521881.tsv
DUF3085	PF11284.8	89	HJKFIDMD_00029	-	93	0.017	15.4	0.1	1	1	2.4e-06	0.022	15.1	0.1	2	46	34	76	33	82	0.84	NZ_CAADJH010000002.1_1520985-1521881.tsv
N36	PF11438.8	35	HJKFIDMD_00030	-	110	1.1e-26	91.9	6.4	1	1	1.5999999999999998e-30	2.7999999999999995e-26	90.7	6.4	1	35	2	36	2	36	0.99	NZ_CAADJH010000002.1_1520985-1521881.tsv
BstA	-	285	HJKFIDMD_00031	-	301	1.6999999999999995e-90	302.9	0.1	1	1	1.0999999999999997e-94	1.9999999999999996e-90	302.6	0.1	3	272	12	284	10	294	0.95	NZ_CAADJH010000002.1_1520985-1521881.tsv
Peptidase_S24	PF00717.23	70	HJKFIDMD_00032	-	237	2.2e-17	62.7	0.0	1	1	6.9e-21	4.1e-17	61.9	0.0	1	69	145	218	145	219	0.97	NZ_CAADJH010000002.1_1520985-1521881.tsv
