target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
HTH_Tnp_1	PF01527.20	75	HJKFIDMD_00003	-	167	4.5000000000000004e-14	52.5	1.4	1	2	4.2e-08	5.7999999999999994e-05	23.3	0.0	7	59	11	64	8	68	0.81
HTH_Tnp_1	PF01527.20	75	HJKFIDMD_00003	-	167	4.5000000000000004e-14	52.5	1.4	2	2	1.3e-09	1.8000000000000001e-06	28.2	1.1	4	74	66	136	63	137	0.92
HTH_28	PF13518.6	52	HJKFIDMD_00003	-	167	6.2e-06	26.2	0.7	1	3	2.3e-07	0.00032	20.8	0.0	13	41	29	57	17	63	0.93
HTH_28	PF13518.6	52	HJKFIDMD_00003	-	167	6.2e-06	26.2	0.7	2	3	0.11	150.0	2.6	0.0	14	37	88	111	74	115	0.72
HTH_28	PF13518.6	52	HJKFIDMD_00003	-	167	6.2e-06	26.2	0.7	3	3	2.3	3200.0	-1.7	0.2	9	21	136	149	134	150	0.65
HTH_23	PF13384.6	50	HJKFIDMD_00003	-	167	5.9999999999999995e-05	22.7	0.0	1	2	4.1e-07	0.00057	19.6	0.0	17	46	28	57	13	60	0.83
HTH_23	PF13384.6	50	HJKFIDMD_00003	-	167	5.9999999999999995e-05	22.7	0.0	2	2	0.72	1000.0	-0.3	0.0	25	41	94	110	70	118	0.74
HTH_Tnp_1_2	PF13022.6	123	HJKFIDMD_00003	-	167	0.0006799999999999999	19.8	2.2	1	2	2.5e-06	0.0035	17.5	0.0	21	51	24	53	7	80	0.73
HTH_Tnp_1_2	PF13022.6	123	HJKFIDMD_00003	-	167	0.0006799999999999999	19.8	2.2	2	2	0.16	220.0	2.0	1.2	14	83	74	140	62	159	0.64
HTH_17	PF12728.7	51	HJKFIDMD_00003	-	167	0.0088	16.2	0.3	1	3	2.4e-05	0.033	14.4	0.0	2	24	29	51	28	63	0.89
HTH_17	PF12728.7	51	HJKFIDMD_00003	-	167	0.0088	16.2	0.3	2	3	2.9	4000.0	-1.9	0.0	14	27	85	98	84	107	0.64
HTH_17	PF12728.7	51	HJKFIDMD_00003	-	167	0.0088	16.2	0.3	3	3	7.4	10000.0	-3.2	0.1	5	11	144	150	143	155	0.8
HTH_26	PF13443.6	63	HJKFIDMD_00003	-	167	0.013000000000000001	15.9	0.0	1	2	0.00054	0.75	10.3	0.0	3	33	21	51	19	59	0.85
HTH_26	PF13443.6	63	HJKFIDMD_00003	-	167	0.013000000000000001	15.9	0.0	2	2	0.083	110.0	3.3	0.0	1	34	74	110	74	117	0.77
LZ_Tnp_IS481	PF13011.6	85	HJKFIDMD_00003	-	167	0.016	15.7	0.1	1	2	0.98	1400.0	-0.1	0.0	65	80	5	20	2	23	0.75
LZ_Tnp_IS481	PF13011.6	85	HJKFIDMD_00003	-	167	0.016	15.7	0.1	2	2	0.00011999999999999999	0.16	12.5	0.0	25	54	28	57	24	71	0.94
Terminase_5	PF06056.12	58	HJKFIDMD_00003	-	167	0.017	15.0	0.1	1	1	2.8999999999999997e-05	0.039	13.8	0.1	15	41	30	56	27	77	0.87
DUF1804	PF08822.11	164	HJKFIDMD_00003	-	167	0.024	14.6	2.8	1	3	2.2e-05	0.03	14.3	0.1	19	47	28	56	26	58	0.94
DUF1804	PF08822.11	164	HJKFIDMD_00003	-	167	0.024	14.6	2.8	2	3	1.3	1800.0	-1.2	0.1	22	51	89	118	71	140	0.59
DUF1804	PF08822.11	164	HJKFIDMD_00003	-	167	0.024	14.6	2.8	3	3	1.5	2100.0	-1.5	0.1	9	27	130	148	120	160	0.61
DUF4194	PF13835.6	166	HJKFIDMD_00003	-	167	0.028999999999999998	14.1	0.2	1	1	3.4e-05	0.047	13.4	0.2	48	93	120	164	110	167	0.87
MerR_1	PF13411.6	69	HJKFIDMD_00003	-	167	0.033	14.3	0.0	1	2	0.00066	0.91	9.7	0.0	1	24	29	52	29	66	0.89
MerR_1	PF13411.6	69	HJKFIDMD_00003	-	167	0.033	14.3	0.0	2	2	0.24	330.0	1.5	0.0	47	65	88	106	81	110	0.83
HTH_Tnp_ISL3	PF13542.6	52	HJKFIDMD_00003	-	167	0.06	12.8	0.0	1	1	0.00011999999999999999	0.16	11.4	0.0	26	44	28	45	27	46	0.9
HTH_29	PF13551.6	63	HJKFIDMD_00003	-	167	0.062	13.3	0.0	1	1	9.300000000000001e-05	0.13	12.3	0.0	14	41	30	57	18	67	0.9
rve	PF00665.26	119	HJKFIDMD_00004	-	283	1.4000000000000002e-23	83.3	0.1	1	2	2.2	8000.0	-3.0	0.0	73	101	31	60	7	63	0.65
rve	PF00665.26	119	HJKFIDMD_00004	-	283	1.4000000000000002e-23	83.3	0.1	2	2	8.2e-27	2.8999999999999996e-23	82.3	0.0	3	116	74	188	72	190	0.96
rve_3	PF13683.6	67	HJKFIDMD_00004	-	283	1.3e-15	56.9	0.1	1	1	7.9e-19	2.8e-15	55.8	0.1	2	67	163	229	162	229	0.96
DDE_Tnp_IS240	PF13610.6	140	HJKFIDMD_00004	-	283	9.199999999999999e-11	42.1	0.0	1	1	4e-14	1.3999999999999998e-10	41.5	0.0	2	139	77	221	76	222	0.87
HTH_32	PF13565.6	73	HJKFIDMD_00004	-	283	0.024	15.2	4.4	1	3	1e-05	0.037000000000000005	14.6	0.0	44	73	17	46	8	46	0.87
HTH_32	PF13565.6	73	HJKFIDMD_00004	-	283	0.024	15.2	4.4	2	3	1.2	4400.0	-1.6	0.2	21	33	53	68	48	72	0.66
HTH_32	PF13565.6	73	HJKFIDMD_00004	-	283	0.024	15.2	4.4	3	3	0.38	1300.0	0.0	0.3	33	50	245	262	213	267	0.53
HTH_33	PF13592.6	60	HJKFIDMD_00004	-	283	0.059000000000000004	13.0	4.1	1	3	0.00023999999999999998	0.84	9.3	0.2	23	47	38	62	36	67	0.92
HTH_33	PF13592.6	60	HJKFIDMD_00004	-	283	0.059000000000000004	13.0	4.1	2	3	0.036000000000000004	130.0	2.3	0.0	20	42	173	195	169	208	0.83
HTH_33	PF13592.6	60	HJKFIDMD_00004	-	283	0.059000000000000004	13.0	4.1	3	3	0.18	660.0	0.0	0.1	28	47	215	235	212	243	0.8
DUF4062	PF13271.6	83	HJKFIDMD_00005	-	321	4.5e-27	94.2	0.0	1	2	7.1e-30	1.3e-26	92.8	0.0	1	83	6	88	6	88	0.99
DUF4062	PF13271.6	83	HJKFIDMD_00005	-	321	4.5e-27	94.2	0.0	2	2	3.3	6000.0	-2.3	0.0	9	30	141	167	140	199	0.51
JIP_LZII	PF16471.5	71	HJKFIDMD_00005	-	321	0.012	15.8	0.2	1	1	1.7e-05	0.03	14.5	0.2	31	57	178	204	175	214	0.91
HALZ	PF02183.18	43	HJKFIDMD_00005	-	321	0.03	14.6	0.7	1	1	4.6e-05	0.08199999999999999	13.1	0.7	23	40	184	201	178	204	0.88
TSC22	PF01166.18	57	HJKFIDMD_00005	-	321	0.039	14.3	1.4	1	2	3.8e-05	0.069	13.5	0.3	18	48	177	207	173	214	0.89
TSC22	PF01166.18	57	HJKFIDMD_00005	-	321	0.039	14.3	1.4	2	2	3.7	6600.0	-2.5	0.0	36	45	295	304	293	306	0.78
DivIC	PF04977.15	80	HJKFIDMD_00005	-	321	0.047	13.5	0.3	1	1	5.6999999999999996e-05	0.1	12.4	0.3	29	51	178	200	173	212	0.85
Seryl_tRNA_N	PF02403.22	108	HJKFIDMD_00005	-	321	0.1	12.8	0.5	1	2	4.2	7500.0	-2.8	0.1	73	86	106	119	101	133	0.53
Seryl_tRNA_N	PF02403.22	108	HJKFIDMD_00005	-	321	0.1	12.8	0.5	2	2	5.7999999999999994e-05	0.1	12.8	0.5	23	71	174	221	169	245	0.84
Speriolin_N	PF15058.6	200	HJKFIDMD_00005	-	321	0.12	12.4	0.1	1	1	0.0001	0.18	11.9	0.1	8	35	176	203	172	242	0.86
HeLo	PF14479.6	205	HJKFIDMD_00005	-	321	0.16	11.8	0.1	1	1	0.00014	0.25	11.2	0.1	78	129	178	228	160	249	0.84
YabA	PF06156.13	102	HJKFIDMD_00005	-	321	0.22	12.2	0.3	1	1	0.00033	0.59	10.8	0.3	23	77	174	223	167	229	0.64
Mto2_bdg	PF12808.7	52	HJKFIDMD_00005	-	321	0.23	11.8	1.2	1	2	0.00028	0.5	10.7	0.4	29	50	180	201	175	203	0.91
Mto2_bdg	PF12808.7	52	HJKFIDMD_00005	-	321	0.23	11.8	1.2	2	2	1.8	3300.0	-1.5	0.0	37	46	295	304	293	306	0.83
Ogr_Delta	PF04606.12	47	HJKFIDMD_00006	-	90	1.9e-15	56.6	4.3	1	1	1.2e-18	2.8e-15	56.0	4.3	1	47	4	50	4	50	0.97
Mu-like_Com	PF10122.9	52	HJKFIDMD_00006	-	90	0.00086	18.7	0.3	1	2	9.2e-07	0.0021	17.5	0.0	24	43	2	21	1	28	0.84
Mu-like_Com	PF10122.9	52	HJKFIDMD_00006	-	90	0.00086	18.7	0.3	2	2	1.1	2400.0	-2.0	0.1	11	23	37	49	30	56	0.51
zf-tcix	PF14952.6	42	HJKFIDMD_00006	-	90	0.0051	16.4	2.4	1	2	0.0002	0.45	10.2	0.2	12	19	4	11	3	17	0.84
zf-tcix	PF14952.6	42	HJKFIDMD_00006	-	90	0.0051	16.4	2.4	2	2	0.0034	7.6	6.2	0.2	26	41	30	45	26	46	0.86
